Date,Description,Amount,Category
2024-07-01,Salary Credit,85000.00,Income
2024-07-02,Apartment Rent,25000.00,Housing
2024-07-03,Swiggy Dinner Order,450.00,Food
2024-07-05,Uber to Office,180.00,Transport
2024-07-06,Big Bazaar Groceries,3200.00,Food
2024-07-08,Netflix Subscription,649.00,Entertainment
2024-07-10,Electricity Bill,1850.00,Utilities
2024-07-12,Zomato Lunch,320.00,Food
2024-07-15,Movie Tickets PVR,800.00,Entertainment
2024-07-16,Myntra Shopping,4500.00,Shopping
2024-07-18,Café Coffee Day,280.00,Food
2024-07-20,Metro Card Recharge,500.00,Transport
2024-07-22,Gym Membership,2000.00,Health
2024-07-25,Ola Auto,120.00,Transport
2024-07-26,Pizza Hut Dinner,890.00,Food
2024-07-28,Mobile Recharge,599.00,Utilities
2024-07-30,Freelance Project,15000.00,Income
2024-08-01,Salary Credit,85000.00,Income
2024-08-02,Apartment Rent,25000.00,Housing
2024-08-04,DMart Groceries,2800.00,Food
2024-08-06,Rapido Bike,95.00,Transport
2024-08-08,Amazon Shopping,3200.00,Shopping
2024-08-10,Water Bill,450.00,Utilities
2024-08-12,Dominos Pizza,650.00,Food
2024-08-15,Flipkart Electronics,8500.00,Shopping
2024-08-16,Starbucks Coffee,420.00,Food
2024-08-18,Uber to Airport,850.00,Transport
2024-08-20,BookMyShow Concert,2500.00,Entertainment
2024-08-22,Haldirams Snacks,380.00,Food
2024-08-25,Pharmacy Medicines,1200.00,Health
2024-08-26,Swiggy Breakfast,250.00,Food
2024-08-28,Gas Cylinder,950.00,Utilities
2024-08-30,Consulting Work,20000.00,Income
2024-09-01,Salary Credit,85000.00,Income
2024-09-02,Apartment Rent,25000.00,Housing
2024-09-03,Reliance Fresh,2500.00,Food
2024-09-05,Metro Daily Pass,200.00,Transport
2024-09-07,Zomato Dinner,580.00,Food
2024-09-10,WiFi Bill,999.00,Utilities
2024-09-12,Decathlon Sports Gear,5600.00,Shopping
2024-09-14,McDonald's,420.00,Food
2024-09-16,Ola Cab,320.00,Transport
2024-09-18,Amazon Prime Subscription,1499.00,Entertainment
2024-09-20,BigBasket Groceries,3100.00,Food
2024-09-22,Barista Coffee,350.00,Food
2024-09-24,Salon Haircut,600.00,Personal Care
2024-09-26,Subway Sandwich,380.00,Food
2024-09-28,Electricity Bill,2100.00,Utilities
2024-09-30,Part-time Teaching,12000.00,Income
2024-10-01,Salary Credit,85000.00,Income
2024-10-02,Apartment Rent,25000.00,Housing
2024-10-04,Spencer's Groceries,2900.00,Food
2024-10-06,Uber Pool,150.00,Transport
2024-10-08,Barbeque Nation,1800.00,Food
2024-10-10,Myntra Fashion Sale,6200.00,Shopping
2024-10-12,KFC Meal,550.00,Food
2024-10-14,Rapido Daily,85.00,Transport
2024-10-16,Hotstar Subscription,899.00,Entertainment
2024-10-18,More Megastore,3400.00,Food
2024-10-20,Nykaa Cosmetics,2800.00,Shopping
2024-10-22,Swiggy Lunch,380.00,Food
2024-10-24,Mobile Bill,799.00,Utilities
2024-10-26,Uber Eats,520.00,Food
2024-10-28,Lenskart Glasses,3500.00,Health
2024-10-30,Online Course Udemy,1200.00,Education
2024-11-01,Salary Credit,85000.00,Income
2024-11-02,Apartment Rent,25000.00,Housing
2024-11-04,D-Mart Groceries,3600.00,Food
2024-11-06,Auto Rickshaw,140.00,Transport
2024-11-08,Zomato Gold Order,680.00,Food
2024-11-10,Electricity Bill,1950.00
